frame,count,count_total,ratio
1415,75,122,0.6147540983606558
1805,68,110,0.6181818181818182
1907,59,95,0.6210526315789474
48,245,394,0.6218274111675127
988,96,154,0.6233766233766234
946,101,162,0.6234567901234568
1812,67,107,0.6261682242990654
974,99,158,0.6265822784810127
287,159,253,0.6284584980237155
1144,90,143,0.6293706293706294
334,153,243,0.6296296296296297
804,108,171,0.631578947368421
1637,72,114,0.631578947368421
27,277,438,0.632420091324201
1301,81,128,0.6328125
1535,73,115,0.6347826086956522
54,245,383,0.639686684073107
1271,84,131,0.6412213740458015
1909,61,95,0.6421052631578947
1527,74,115,0.6434782608695652
1366,80,124,0.6451612903225806
1759,71,110,0.6454545454545455
1153,93,144,0.6458333333333334
908,108,167,0.6467065868263473
2018,59,91,0.6483516483516484
348,156,240,0.65
1820,69,106,0.6509433962264151
30,282,433,0.651270207852194
1912,62,95,0.6526315789473685
1915,62,95,0.6526315789473685
1635,74,113,0.6548672566371682
2008,64,97,0.6597938144329897
1495,77,116,0.6637931034482759
1360,83,124,0.6693548387096774
346,162,241,0.6721991701244814
1617,77,114,0.6754385964912281
24,301,445,0.6764044943820224
1363,84,124,0.6774193548387096
1450,82,121,0.6776859504132231
1928,66,97,0.6804123711340206
1697,77,113,0.6814159292035398
18,316,458,0.6899563318777293
1148,100,143,0.6993006993006993
1602,80,114,0.7017543859649122
21,317,450,0.7044444444444444
1710,79,111,0.7117117117117117
1525,82,115,0.7130434782608696
2021,5,7,0.7142857142857143
977,113,158,0.7151898734177216
1151,104,145,0.7172413793103448
1920,69,96,0.71875
1817,77,107,0.719626168224299
1530,84,115,0.7304347826086957
399,165,225,0.7333333333333333
1748,82,111,0.7387387387387387
401,166,223,0.7443946188340808
181,221,294,0.7517006802721088
1614,87,114,0.7631578947368421
1056,115,150,0.7666666666666667
1725,86,112,0.7678571428571429
1411,94,122,0.7704918032786885
1158,112,144,0.7777777777777778
1940,77,99,0.7777777777777778
1918,76,97,0.7835051546391752
1722,91,114,0.7982456140350878
91,270,338,0.7988165680473372
308,199,248,0.8024193548387096
1930,78,97,0.8041237113402062
1933,78,97,0.8041237113402062
1938,81,100,0.81
1061,121,149,0.8120805369127517
1059,121,149,0.8120805369127517
960,130,160,0.8125
1945,80,98,0.8163265306122449
855,140,170,0.8235294117647058
1612,94,114,0.8245614035087719
1947,81,98,0.826530612244898
1146,119,143,0.8321678321678322
1051,126,150,0.84
1992,82,97,0.845360824742268
1995,82,97,0.845360824742268
1942,84,98,0.8571428571428571
2015,78,91,0.8571428571428571
423,188,219,0.8584474885844748
1935,84,97,0.865979381443299
1720,102,114,0.8947368421052632
1299,117,128,0.9140625
1923,89,96,0.9270833333333334
1950,91,98,0.9285714285714286
331,229,244,0.9385245901639344
2012,87,91,0.9560439560439561
1591707190049,1,1,1.0
